date,total_crashes,crash_rate,avg_crashes_last_7_days,avg_crashes_last_30_days,temperature_2m_mean,precipitation_sum,windspeed_10m_max,rain_indicator,hidden_state,state_probability_max,state_label
2018-01-01,282,0.023022077141139078,0.0,0.0,-11.0,0.0,21.6,0.0,2,1.0,High Risk Regime
2018-01-02,382,0.03169830770552358,0.02422472296194485,0.02422472296194485,-7.8,0.0,19.9,0.0,2,1.0,High Risk Regime
2018-01-03,397,0.032299630615926465,0.0570397732153595,0.0570397732153595,-6.8,0.0,12.7,0.0,2,1.0,High Risk Regime
2018-01-04,263,0.021905334593248,0.09114337256249463,0.09114337256249463,-5.0,20.1,52.4,1.0,2,1.0,High Risk Regime
2018-01-05,384,0.03161240443260888,0.11373593333906022,0.11373593333906022,-12.0,0.0,34.6,0.0,2,1.0,High Risk Regime
2018-01-06,343,0.02774675715144747,0.14672279013830428,0.14672279013830428,-14.4,0.0,27.6,0.0,2,1.0,High Risk Regime
2018-01-07,285,0.023022077141139078,0.1761876127480457,0.1761876127480457,-14.7,0.0,21.0,0.0,2,1.0,High Risk Regime
2018-01-08,435,0.03479082553045271,0.20067004552873466,0.20067004552873466,-6.0,1.0,21.3,1.0,2,1.0,High Risk Regime
2018-01-09,416,0.034275405892964524,0.21381324628468346,0.2380379692466283,-0.2,0.0,20.6,0.0,2,1.0,High Risk Regime
2018-01-10,417,0.033588179709646934,0.2167339575637832,0.2737737307791427,-3.8,0.0,14.0,0.0,2,1.0,High Risk Regime
2018-01-11,411,0.03384588952839103,0.21845202302207714,0.3095953955845718,4.5,0.0,14.2,0.0,2,1.0,High Risk Regime
2018-01-12,423,0.034619018984623315,0.23116570741345246,0.3449016407525127,11.8,28.9,35.3,1.0,2,1.0,High Risk Regime
2018-01-13,378,0.030925178249291297,0.23451593505712567,0.38123872519542995,2.6,8.8,29.7,1.0,2,1.0,High Risk Regime
2018-01-14,324,0.0263723047848123,0.2375225496091401,0.41371016235718583,-7.4,0.0,23.8,0.0,2,1.0,High Risk Regime
2018-01-15,297,0.024482432780688946,0.24087277725281334,0.441542822781548,-5.4,0.0,20.2,0.0,2,1.0,High Risk Regime
2018-01-16,385,0.03204192079718237,0.22901812559058501,0.4670560948372133,-1.0,0.0,12.7,0.0,2,1.0,High Risk Regime
2018-01-17,357,0.029293016063912033,0.22635512413022937,0.5001288549093721,-0.5,6.5,21.0,1.0,2,1.0,High Risk Regime
2018-01-18,393,0.03161240443260888,0.22120092775534747,0.5307963233399192,-4.6,0.0,25.5,0.0,2,1.0,High Risk Regime
2018-01-19,366,0.0307533717034619,0.21965466884288293,0.5645563095953956,-1.5,0.0,18.1,0.0,2,1.0,High Risk Regime
2018-01-20,329,0.026801821149385792,0.21475818228674512,0.595996907482175,3.9,0.0,25.7,0.0,2,1.0,High Risk Regime
2018-01-21,254,0.020874495318271628,0.2105489219139249,0.6242590842711108,4.3,0.0,10.8,0.0,2,1.0,High Risk Regime
2018-01-22,345,0.02809037024310626,0.20453569280989606,0.646078515591444,6.3,0.5,12.7,1.0,2,1.0,High Risk Regime
2018-01-23,334,0.02740314405978868,0.20865904990980155,0.6757151447470149,9.0,7.5,35.1,1.0,2,1.0,High Risk Regime
