segment_id,total_crashes,avg_crash_rate,crash_volatility,pct_days_with_crash,avg_crashes_last_7_days,avg_crashes_last_30_days,avg_temp,avg_precip,avg_wind,crash_rate_rain,crash_rate_no_rain,segment_length,road_busway,road_living_street,road_motorway,road_motorway_link,road_primary,road_primary_link,road_residential,road_secondary,road_secondary_link,road_tertiary,road_tertiary_link,road_trunk,road_trunk_link,road_unclassified
0,59,0.022291748142354323,0.15529093175700856,0.022291748142354323,0.16151740320688307,0.6922174423152131,12.635705905357842,3.8899491591709037,21.59225655064529,0.02911208151382824,0.014370245139475908,819.5016661477803,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,30,0.011732499022291749,0.10770043553436692,0.011732499022291749,0.08212749315604223,0.34610872115760655,12.635705905357842,3.8899491591709037,21.59225655064529,0.011644832605531296,0.011834319526627219,268.1440952459794,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,108,0.04067266327727806,0.20880313636889047,0.04067266327727806,0.29565897536175206,1.2671098944075088,12.635705905357842,3.8899491591709037,21.59225655064529,0.043668122270742356,0.037193575655114115,291.83869462800163,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,123,0.04575674618693782,0.2247266647354894,0.04575674618693782,0.33672272193977315,1.442706296441142,12.635705905357842,3.8899491591709037,21.59225655064529,0.04439592430858806,0.047337278106508875,552.4256905079891,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,20,0.007821666014861166,0.08811086051164643,0.007821666014861166,0.05475166210402816,0.2268283144309738,12.635705905357842,3.8899491591709037,21.59225655064529,0.00727802037845706,0.0084530853761623,86.27431578887493,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,26,0.010168165819319515,0.10034297149419821,0.010168165819319515,0.07117716073523661,0.30504497457958546,12.635705905357842,3.8899491591709037,21.59225655064529,0.008005822416302766,0.01267962806424345,86.01085340862146,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,59,0.023073914743840438,0.1501676671558921,0.023073914743840438,0.16151740320688307,0.6922174423152131,12.635705905357842,3.8899491591709037,21.59225655064529,0.020378457059679767,0.026204564666103127,81.61915885499333,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,30,0.011732499022291749,0.10770043553436712,0.011732499022291749,0.08212749315604223,0.35197497066875244,12.635705905357842,3.8899491591709037,21.59225655064529,0.009461426491994178,0.014370245139475908,19.292136858252466,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,59,0.023073914743840438,0.1501676671558922,0.023073914743840438,0.16151740320688307,0.6922174423152131,12.635705905357842,3.8899491591709037,21.59225655064529,0.024745269286754003,0.021132713440405747,86.55482911524162,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,60,0.023073914743840438,0.1539669752475254,0.023073914743840438,0.16425498631208446,0.7039499413375049,12.635705905357842,3.8899491591709037,21.59225655064529,0.026928675400291122,0.018596787827557058,87.48023112496006,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,26,0.010168165819319515,0.10034297149419819,0.010168165819319515,0.07117716073523661,0.30504497457958546,12.635705905357842,3.8899491591709037,21.59225655064529,0.005822416302765648,0.015215553677092139,267.0195791566417,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,34,0.01329683222526398,0.11456508852499817,0.01329683222526398,0.09307782557684786,0.3989049667579194,12.635705905357842,3.8899491591709037,21.59225655064529,0.010189228529839884,0.0169061707523246,153.18437731392902,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,26,0.010168165819319515,0.10034297149419837,0.010168165819319515,0.07117716073523661,0.30504497457958546,12.635705905357842,3.8899491591709037,21.59225655064529,0.010189228529839884,0.01014370245139476,239.74347624042753,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,45,0.017207665232694565,0.13445545468372724,0.017207665232694565,0.12319123973406336,0.5279624560031286,12.635705905357842,3.8899491591709037,21.59225655064529,0.018922852983988356,0.015215553677092139,273.3326739091509,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,24,0.009385999217833398,0.09644449135874776,0.009385999217833398,0.06570199452483379,0.28157997653500194,12.635705905357842,3.8899491591709037,21.59225655064529,0.009461426491994178,0.009298393913778529,17.094833498217778,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,154,0.058271411810715684,0.24603671338792718,0.058271411810715684,0.42158779820101683,1.8068048494329292,12.635705905357842,3.8899491591709037,21.59225655064529,0.0611353711790393,0.054945054945054944,96.32662400558569,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,30,0.011732499022291749,0.10770043553436695,0.011732499022291749,0.08212749315604223,0.3515838873680094,12.635705905357842,3.8899491591709037,21.59225655064529,0.009461426491994178,0.014370245139475908,171.36273551488048,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,44,0.016425498631208447,0.13595265033720214,0.016425498631208447,0.12045365662886194,0.516229956980837,12.635705905357842,3.8899491591709037,21.59225655064529,0.01601164483260553,0.0169061707523246,22.31490663086506,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,22,0.008603832616347283,0.09237501745991716,0.008603832616347283,0.06022682831443097,0.2581149784904185,12.635705905357842,3.8899491591709037,21.59225655064529,0.008005822416302766,0.009298393913778529,77.14403507117763,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,43,0.016816581931951506,0.12860891540193906,0.016816581931951506,0.11771607352366054,0.5044974579585452,12.635705905357842,3.8899491591709037,21.59225655064529,0.017467248908296942,0.016060862214708368,81.50372482347102,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,21,0.007821666014861166,0.09450375344321585,0.007821666014861166,0.057489245209229566,0.24638247946812672,12.635705905357842,3.8899491591709037,21.59225655064529,0.008733624454148471,0.006762468300929839,150.4341452037667,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,25,0.009777082518576457,0.09841381471547951,0.009777082518576457,0.06843957763003519,0.29331247555729373,12.635705905357842,3.8899491591709037,21.59225655064529,0.010189228529839884,0.009298393913778529,253.81341668065255,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,27,0.010559249120062574,0.1022342355463464,0.010559249120062574,0.07391474384043802,0.3167774736018772,12.635705905357842,3.8899491591709037,21.59225655064529,0.012372634643377001,0.0084530853761623,79.92365293207123,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,54,0.02111849824012515,0.14380749322480732,0.02111849824012515,0.14782948768087603,0.6269065310911224,12.635705905357842,3.8899491591709037,21.59225655064529,0.024017467248908297,0.01775147928994083,21.559177211377477,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,30,0.011732499022291749,0.1077004355343671,0.011732499022291749,0.08212749315604223,0.35197497066875244,12.635705905357842,3.8899491591709037,21.59225655064529,0.01455604075691412,0.0084530853761623,79.45919669000962,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,36,0.014078998826750098,0.11783976953529013,0.014078998826750098,0.09855299178725069,0.41650371529135705,12.635705905357842,3.8899491591709037,21.59225655064529,0.01455604075691412,0.013524936601859678,275.7305817526065,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,30,0.01134141572154869,0.11127379038996961,0.01134141572154869,0.08212749315604223,0.35197497066875244,12.635705905357842,3.8899491591709037,21.59225655064529,0.013828238719068414,0.0084530853761623,274.1073964034899,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,24,0.009385999217833398,0.09644449135874775,0.009385999217833398,0.06296441141963238,0.2639812280015643,12.635705905357842,3.8899491591709037,21.59225655064529,0.008005822416302766,0.01098901098901099,130.45078030413174,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,35,0.01368791552600704,0.11621462215410637,0.01368791552600704,0.09581540868204928,0.4106374657802112,12.635705905357842,3.8899491591709037,21.59225655064529,0.015283842794759825,0.011834319526627219,79.95187441752103,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,36,0.01368791552600704,0.12111434224561837,0.01368791552600704,0.09698865858427845,0.4086820492764959,12.635705905357842,3.8899491591709037,21.59225655064529,0.010917030567685589,0.0169061707523246,25.311787915972623,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117,28,0.010559249120062574,0.10778280247187991,0.010559249120062574,0.07665232694563942,0.3285099726241689,12.635705905357842,3.8899491591709037,21.59225655064529,0.011644832605531296,0.009298393913778529,86.8814954891243,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,30,0.011732499022291749,0.1077004355343671,0.011732499022291749,0.08212749315604223,0.35197497066875244,12.635705905357842,3.8899491591709037,21.59225655064529,0.010189228529839884,0.013524936601859678,117.52668986809104,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,51,0.019163081736409855,0.1453273143630859,0.019163081736409855,0.1396167383652718,0.5983574501368791,12.635705905357842,3.8899491591709037,21.59225655064529,0.018922852983988356,0.01944209636517329,866.9520057917429,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135,90,0.03480641376613219,0.18642529799043406,0.03480641376613219,0.24638247946812672,1.0508408290965976,12.635705905357842,3.8899491591709037,21.59225655064529,0.03711790393013101,0.032121724429416736,158.85936957954533,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,98,0.037152913570590536,0.19803814382163615,0.037152913570590536,0.2671098944075088,1.1302307391474384,12.635705905357842,3.8899491591709037,21.59225655064529,0.026928675400291122,0.04902789518174133,1005.0822702134026,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,113,0.04262807978099335,0.21303957302898927,0.04262807978099335,0.3093468908877591,1.3210793899100508,12.635705905357842,3.8899491591709037,21.59225655064529,0.03711790393013101,0.04902789518174133,260.64449745498916,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,26,0.009777082518576457,0.10416901910714146,0.009777082518576457,0.07117716073523661,0.30504497457958546,12.635705905357842,3.8899491591709037,21.59225655064529,0.010189228529839884,0.009298393913778529,77.79712268057604,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150,88,0.032850997262416894,0.19071918385109696,0.032850997262416894,0.24090731325772388,1.026593664450528,12.635705905357842,3.8899491591709037,21.59225655064529,0.03857350800582242,0.026204564666103127,29.703389990132415,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,135,0.050840829096597574,0.23225143783652935,0.050840829096597574,0.3668361360969887,1.5569026202581149,12.635705905357842,3.8899491591709037,21.59225655064529,0.06259097525473072,0.037193575655114115,544.5582799227994,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,31,0.012123582323034806,0.10945906429283526,0.012123582323034806,0.08486507626124365,0.36370746969104417,12.635705905357842,3.8899491591709037,21.59225655064529,0.012372634643377001,0.011834319526627219,84.37955172018268,0,0,0,0,0,0,0,1,0,0,0,0,0,0
158,132,0.05123191239734063,0.2230687983516846,0.05123191239734063,0.36136096988658584,1.54477903793508,12.635705905357842,3.8899491591709037,21.59225655064529,0.05240174672489083,0.049873203719357564,77.96308031209274,0,0,0,0,0,0,0,1,0,0,0,0,0,0
168,55,0.02111849824012515,0.1477755946538342,0.02111849824012515,0.15056707078607742,0.6452874462260462,12.635705905357842,3.8899491591709037,21.59225655064529,0.023289665211062592,0.018596787827557058,277.34392815977816,0,0,1,0,0,0,0,0,0,0,0,0,0,0
