feature,importance
windspeed_10m_max,2054
temperature_2m_mean,2025
precipitation_sum,1275
month,685
segment_length,554
day_of_week,515
sin_day_of_week,341
sin_month,332
cos_day_of_week,266
cos_month,244
crashes_last_30_days,189
road_motorway_link,84
road_residential,70
road_motorway,57
road_secondary,54
road_unclassified,51
crashes_last_7_days,42
road_tertiary_link,35
road_primary,34
road_trunk_link,30
road_primary_link,29
road_secondary_link,18
road_tertiary,16
road_busway,0
road_trunk,0
road_living_street,0
