feature,importance
temperature_2m_mean,2887
segment_length,2712
windspeed_10m_max,2648
precipitation_sum,1750
crashes_last_30_days,798
day_of_week,771
month,677
sin_day_of_week,436
sin_month,418
cos_month,338
cos_day_of_week,290
road_residential,192
road_tertiary,161
road_motorway,143
road_motorway_link,119
road_primary,110
road_secondary,105
crashes_last_7_days,97
road_trunk,93
road_unclassified,84
road_secondary_link,47
rain_indicator,43
road_primary_link,38
road_living_street,22
road_tertiary_link,21
road_trunk_link,0
road_busway,0
