feature,importance
temperature_2m_mean,1838
segment_length,1826
windspeed_10m_max,1709
precipitation_sum,1160
segment_curvature,1157
bearing_change_max,841
visibility_risk_score,817
crashes_last_30_days,779
day_of_week,500
lanes,465
month,440
sin_day_of_week,306
maxspeed,287
v_degree,259
sin_month,247
cos_month,241
u_degree,204
cos_day_of_week,196
bearing_norm,185
oneway,184
curvature_norm,172
road_residential,167
near_traffic_signal,144
is_bridge,121
road_tertiary,99
road_primary,88
crashes_last_7_days,68
road_secondary,64
intersection_degree_max,62
road_trunk,53
is_tunnel,47
road_motorway,43
road_unclassified,40
road_motorway_link,39
rain_indicator,35
road_secondary_link,28
near_crossing,27
road_primary_link,19
is_junction,12
intersection_norm,11
road_tertiary_link,10
near_intersection,6
road_living_street,4
road_trunk_link,0
road_busway,0
